선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
손아섭,NC,0.344,121,533,482,84,166,32,3,5,219,64,1,5
박민우,NC,0.317,107,446,401,64,127,19,6,1,161,37,4,2
박건우,NC,0.314,113,472,405,63,127,29,2,11,193,73,1,4
마틴,NC,0.287,98,422,366,47,105,19,2,14,170,73,0,7
