선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
구자욱,삼성,0.326,104,451,396,53,129,33,1,8,188,61,2,3
김현준,삼성,0.293,93,416,376,53,110,8,5,3,137,40,7,1
강민호,삼성,0.287,113,447,387,54,111,16,0,15,172,67,1,4
피렐라,삼성,0.279,123,537,498,56,139,25,1,13,205,69,0,1
