선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
에레디아,SSG,0.327,105,449,407,64,133,24,0,12,193,70,1,1
최정,SSG,0.296,121,525,449,89,133,31,0,26,242,84,1,6
