선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
전준우,롯데,0.3,120,478,420,64,126,17,3,14,191,66,0,7
윤동희,롯데,0.296,100,390,358,41,106,16,1,2,130,39,2,5
안치홍,롯데,0.294,115,480,411,56,121,19,1,8,166,62,5,5
