선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
양의지,두산,0.318,111,446,380,46,121,21,0,14,184,57,0,3
정수빈,두산,0.283,120,514,441,65,125,13,9,2,162,31,12,2
