선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5
알포드,KT,0.288,120,493,441,78,127,29,2,14,202,62,0,2
장성우,KT,0.279,119,421,376,37,105,21,0,11,159,61,3,5
